name	location	gs_pubs	gs_hindex	gs_i10index	gs_citations
Dean F. Hougen	University of Oklahoma	92	18	24	1064
Amy McGovern	University of Oklahoma	77	15	18	945
Sridhar Radhakrishnan	University of Oklahoma	135	15	23	1212
Luay Nakhleh	Rice University	103	29	49	2534
Devika Subramanian	Rice University	123	24	38	2717
Max Alekseyev	University of South Carolina	46	14	17	1121
Jianjun Hu	University of South Carolina	2953	39	300	11533
Chin-Tser Huang	University of South Carolina	671	38	115	8361
Srihari Nelakuditi	University of South Carolina	92	26	40	2384
Jason O'Kane	University of South Carolina	45	12	12	390
Jijun Tang	University of South Carolina	88	16	26	972
Homayoun Valafar	University of South Carolina	59	15	19	1087
Marco Valtorta	University of South Carolina	81	14	27	986
Jose M. Vidal	University of South Carolina	129	23	43	1944
James Allen	University of Rochester	391	61	159	31339
Jeffrey Bigham	University of Rochester	166	25	45	2546
Engin Ipek	University of Rochester	55	16	18	2506
Robert Jacobs	University of Rochester	133	31	52	11924
T. Florian Jaeger	University of Rochester	126	25	48	3332
Chris Pal	University of Rochester	84	19	28	1955
Michael Scott	University of Rochester	239	51	133	10885
Kenneth Christensen	University of South Florida	128	22	37	2195
Adriana Iamnitchi	University of South Florida	99	28	38	6054
Rangachar Kasturi	University of South Florida	247	39	93	8857
MiguelA. Labrador	University of South Florida	185	26	52	2046
Jay Ligatti	University of South Florida	44	16	19	2074
Luther Palmer	University of South Florida	29	9	9	339
Xiaoning Qian	University of South Florida	98	12	19	531
Nagarajan Ranganathan	University of South Florida	393	30	117	3993
Sudeep Sarkar	University of South Florida	256	37	101	7267
Yu Sun	University of South Florida	67	11	16	410
Hao Zheng	University of South Florida	146	18	22	932
Xumin Liu	Rochester Institute of Technology	61	10	10	532
Minseok Kwon	Rochester Institute of Technology	49	15	16	899
Christopher M. Homan	Rochester Institute of Technology	47	10	10	356
Matthew Fluet	Rochester Institute of Technology	58	16	20	678
Fahiem Bacchus	University of Toronto	176	43	80	7416
Ravin Balakrishnan	University of Toronto	207	61	122	10938
Craig Boutilier	University of Toronto	291	57	154	15067
Michael Brudno	University of Toronto	85	36	54	9877
Marsha Chechik	University of Toronto	213	31	88	3443
Christina C. Christara	University of Toronto	55	12	16	448
Eyal de Lara	University of Toronto	95	31	53	3792
Angela Demke Brown	University of Toronto	106	16	18	998
Azadeh Farzan	University of Toronto	37	15	18	737
David J. Fleet	University of Toronto	117	52	92	16543
Aaron Hertzmann	University of Toronto	115	43	61	10701
Graeme Hirst	University of Toronto	231	41	96	9148
Michael Molloy	University of Toronto	93	27	49	4672
Bianca Schroeder	University of Toronto	80	23	29	3840
Khai N. Truong	University of Toronto	125	31	61	2693
Vinod Vaikuntanathan	University of Toronto	99	36	56	5876
Eric Allender	Rutgers University	137	35	72	3481
Abhishek Bhattacharjee	Rutgers University	24	11	12	465
Alex Borgida	Rutgers University	216	52	103	11046
Tina Eliassi-Rad	Rutgers University	114	21	34	1720
Vinod Ganapathy	Rutgers University	49	20	27	1302
Liviu Iftode	Rutgers University	259	48	97	7106
Amelie Marian	Rutgers University	46	18	20	2754
L. Thorne McCarty	Rutgers University	58	21	32	1818
Dimitris Metaxas	Rutgers University	670	67	267	19661
Thu D. Nguyen	Rutgers University	117	27	49	3082
Michael Pazzani	Rutgers University	219	60	119	23122
Matthew Stone	Rutgers University	145	30	52	3486
Nicholas S. Flann	Utah State University	88	20	33	1457
Xiaojun Qi	Utah State University	92	13	18	740
Jeong-Hyon Hwang	State University of New York, Albany	38	13	15	2035
Siwei Lyu	State University of New York, Albany	65	18	26	2602
Julie A. Adams	Vanderbilt University	157	24	44	1831
Gautam Biswas	Vanderbilt University	575	40	192	7748
Yuan Xue	Vanderbilt University	380	26	78	3433
Kanad Ghose	State University of New York, Binghamton	183	25	59	2835
Kartik Gopalan	State University of New York, Binghamton	102	22	39	2974
Kyoung-Don Kang	State University of New York, Binghamton	81	18	30	1309
Michael J. Lewis	State University of New York, Binghamton	3	1	0	4
David Liu	State University of New York, Binghamton	45	13	17	555
Weiyi Meng	State University of New York, Binghamton	155	40	76	6215
Ping Yang	State University of New York, Binghamton	34	10	11	443
Lijun Yin	State University of New York, Binghamton	273	22	39	2339
Yu David Liu	State University of New York, Binghamton	45	13	17	555
Zhongfei  Zhang	State University of New York, Binghamton	646	36	115	5497
Ting Zhu	State University of New York, Binghamton	78	20	30	2019
Preetam Ghosh	Virginia Commonwealth University	125	14	21	738
Kayvan Najarian	Virginia Commonwealth University	170	14	24	921
Aidong Zhang	State University of New York, Buffalo	3000	36	259	11606
Jan Chomicki	State University of New York, Buffalo	155	41	70	6497
Jason J. Corso	State University of New York, Buffalo	162	24	38	1954
Murat Demirbas	State University of New York, Buffalo	144	25	44	3110
Steven Ko	State University of New York, Buffalo	40	16	18	846
Tevfik Kosar	State University of New York, Buffalo	116	19	28	1199
Dimitrios Koutsonikolas	State University of New York, Buffalo	57	16	21	1126
Russ Miller	State University of New York, Buffalo	71	13	17	497
Hung Ngo	State University of New York, Buffalo	136	20	34	1389
Chunming Qiao	State University of New York, Buffalo	597	64	214	18597
William J. Rapaport	State University of New York, Buffalo	165	28	54	2470
Atri Rudra	State University of New York, Buffalo	119	19	29	1448
Ramalingam Sridar	State University of New York, Buffalo	159	17	32	1129
Godmar Back	Virginia Tech	51	18	22	1759
Doug A. Bowman	Virginia Tech	243	38	100	7525
Yong Cao	Virginia Tech	695	19	43	1797
Ed Fox	Virginia Tech	789	55	197	13858
Denis Gracanin	Virginia Tech	204	19	41	1400
Lenwood S Heath	Virginia Tech	167	28	54	4339
Wenjing Lou	Virginia Tech	208	53	104	13106
Chang-Tien Lu	Virginia Tech	276	24	50	2537
T. M. Murali	Virginia Tech	75	24	31	2628
Francis Quek	Virginia Tech	262	29	73	5842
Naren Ramakrishnan	Virginia Tech	383	32	92	3562
Adrian Sandu	Virginia Tech	327	34	80	4175
Cliff Shaffer	Virginia Tech	205	28	68	2788
Danfeng Yao	Virginia Tech	124	19	40	1098
Michael Bender	State University of New York, Stony Brook	161	35	72	4348
Yejin Choi	State University of New York, Stony Brook	58	21	29	2347
Jie Gao	State University of New York, Stony Brook	134	31	53	4660
Himanshu Gupta	State University of New York, Stony Brook	64	28	36	4876
Klaus Mueller	State University of New York, Stony Brook	355	40	104	6256
Hong Qin	State University of New York, Stony Brook	328	36	102	4264
Dimitris Samaras	State University of New York, Stony Brook	124	32	53	3218
R. Sekar	State University of New York, Stony Brook	132	38	68	5821
Radu Sion	State University of New York, Stony Brook	146	28	46	2768
Scott Smolka	State University of New York, Stony Brook	275	44	103	7253
Richard Anderson	University of Washington	218	37	75	4201
Tom Anderson	University of Washington	352	85	177	35352
Paul Beame	University of Washington	112	36	72	4626
Brian Curless	University of Washington	106	45	64	17157
Oren Etzioni	University of Washington	248	75	143	24151
Steve Gribble	University of Washington	140	51	81	15549
Richard Ladner	University of Washington	278	44	114	11124
James Landay	University of Washington	250	62	131	15959
Ed Lazowska	University of Washington	166	51	87	11978
Shwetak Patel	University of Washington	144	31	60	3367
Anup Rao	University of Washington	46	18	22	1038
Rajesh Rao	University of Washington	243	46	101	9512
Steven Seitz	University of Washington	173	52	92	16966
David Wetherall	University of Washington	206	67	124	20560
Ahmed Amer	Santa Clara University	77	13	18	702
Joanne Holliday	Santa Clara University	70	15	18	980
Diane J. Cook	Washington State University, Pullman	507	48	193	11007
Ananth Kalyanaraman	Washington State University, Pullman	76	15	16	3615
Min Sik Kim	Washington State University, Pullman	3000	60	676	25246
Alexandra Fedorova	Simon Fraser University	104	28	42	2884
Mohammed Hefeeda	Simon Fraser University	153	23	55	3014
Greg Mori	Simon Fraser University	117	30	49	6454
Jian Pei	Simon Fraser University	315	66	173	54312
Anoop Sarkar	Simon Fraser University	155	23	45	2294
Arrvindh Shriraman	Simon Fraser University	43	13	19	713
Tamara Smyth	Simon Fraser University	49	7	3	151
Richard Hao Zhang	Simon Fraser University	3000	34	57	4787
Yixin Chen	Washington University, St. Louis	3000	29	511	14912
Patrick Crowley	Washington University, St. Louis	103	25	37	3085
Viktor Gruev	Washington University, St. Louis	112	16	26	1013
Tao Ju	Washington University, St. Louis	114	27	52	3179
Chenyang Lu	Washington University, St. Louis	412	52	151	14128
Robert Pless	Washington University, St. Louis	148	31	63	4817
Bill Smart	Washington University, St. Louis	130	19	31	1645
Jernej Barbic	University of Southern California	38	14	15	1179
Laurent Itti	University of Southern California	264	53	122	22990
Sven Koenig	University of Southern California	268	47	114	7934
Maja Mataric	University of Southern California	525	76	234	23648
Paul Rosenbloom	University of Southern California	225	41	83	11098
Fei Sha	University of Southern California	106	29	43	4655
Gaurav Sukhatme	University of Southern California	567	71	251	18588
Jelena Mirkovic	University of Southern California	82	23	36	3814
Joanne M. Atlee	University of Waterloo	90	18	27	3545
Therese Biedl	University of Waterloo	191	23	55	1893
Charles L. A. Clarke	University of Waterloo	190	40	91	5720
Nancy Day	University of Waterloo	81	13	21	574
Michael W. Godfrey	University of Waterloo	201	30	66	3554
Urs Hengartner	University of Waterloo	78	24	37	1927
Jesse Hoey	University of Waterloo	150	25	46	2918
Reid Holmes	University of Waterloo	95	18	35	1313
George Labahn	University of Waterloo	151	25	54	2990
Ming Li	University of Waterloo	3000	70	349	34651
Alejandro Lopez-Ortiz	University of Waterloo	213	25	46	2446
Anna Lubiw	University of Waterloo	118	28	60	2509
Stephen Mann	University of Waterloo	107	23	34	2110
Naomi Nishimura	University of Waterloo	4	2	2	113
Jeffery John Orchard	University of Waterloo	67	15	17	648
M. Tamer Ozsu	University of Waterloo	338	50	134	12198
Pascal Poupart	University of Waterloo	116	26	42	2883
Kenneth Salem	University of Waterloo	103	28	42	5112
Douglas Robert Stinson	University of Waterloo	458	59	219	17536
David Toman	University of Waterloo	122	24	36	2378
Peter Van Beek	University of Waterloo	76	30	44	5560
John Watrous	University of Waterloo	54	31	44	3926
Shahram Rahimi	Southern Illinois University, Carbondale	156	13	20	651
Hamidreza Chitsaz	Wayne State University	48	12	14	797
Daniel Grosu	Wayne State University	128	19	34	1482
Andrian Marcus	Wayne State University	120	37	71	5467
Loren Schwiebert	Wayne State University	93	28	43	3363
Hongwei Zhang	Wayne State University	3000	19	30	2656
Joseph Camp	Southern Methodist University	48	9	9	905
Ping Gui	Southern Methodist University	80	9	9	268
Mitchell A. Thornton	Southern Methodist University	199	16	40	1365
Alex Aiken	Stanford University	225	58	131	14020
Serafim Batzoglou	Stanford University	120	47	70	39685
Dan Boneh	Stanford University	328	86	188	44511
Bill Dally	Stanford University	527	79	223	33475
David Dill	Stanford University	294	68	159	29587
Hector Garcia-Molina	Stanford University	718	124	379	66493
Jeff Heer	Stanford University	139	40	73	7196
John Hennessy	Stanford University	293	65	134	34146
Mark Horowitz	Stanford University	600	101	320	35336
Sachin Katti	Stanford University	103	30	49	9167
Scott Klemmer	Stanford University	147	33	61	4382
Daphne Koller	Stanford University	435	106	251	45077
Christos Kozyrakis	Stanford University	197	54	111	10844
Jure Leskovec	Stanford University	195	56	102	18650
Philip Levis	Stanford University	163	50	87	16573
Marc Levoy	Stanford University	155	56	87	30552
Fei-Fei Li	Stanford University	191	49	83	18021
Chris Manning	Stanford University	347	79	197	44221
Nick McKeown	Stanford University	259	71	159	24543
John Ousterhout	Stanford University	160	51	87	19463
Tim Roughgarden	Stanford University	240	44	90	10733
Jennifer Widom	Stanford University	315	91	196	42626
Emmanuel Agu	Worcester Polytechnic Institute	92	9	7	755
David C. Brown	Worcester Polytechnic Institute	181	26	62	3901
Sonia Chernova	Worcester Polytechnic Institute	88	18	23	1861
Mark Claypool	Worcester Polytechnic Institute	201	32	69	5260
George T. Heineman	Worcester Polytechnic Institute	93	21	28	2620
Robert W. Lindeman	Worcester Polytechnic Institute	95	19	32	1370
Craig A. Shue	Worcester Polytechnic Institute	51	10	10	257
George Kamberov	Stevens Institute of Technology	107	12	19	567
Philippos Mordohai	Stevens Institute of Technology	55	19	24	1983
Vivek Pathak	Stevens Institute of Technology	14	4	3	120
Wendy Wang	Stevens Institute of Technology	49	13	16	691
Keke Chen	Wright State University	3000	31	138	6546
Travis Doom	Wright State University	81	12	13	520
Meilin Liu	Wright State University	494	76	228	17849
Michael Raymer	Wright State University	126	19	31	1866
Jian Tang	Syracuse University	87	27	44	3018
Heng Yin	Syracuse University	51	18	23	2677
Daniel Abadi	Yale University	79	31	36	10485
James Aspnes	Yale University	121	29	55	4901
Bryan Ford	Yale University	127	31	47	4213
Brian Scassellati	Yale University	178	36	67	5842
Zhong Shao	Yale University	120	33	50	2747
Daniel Spielman	Yale University	135	44	70	9882
Shan Lin	Temple University	56	12	13	1610
Haibin Ling	Temple University	159	30	56	5135
Zoran Obradovic	Temple University	317	48	110	15486
Slobodan Vucetic	Temple University	123	24	47	3929
Jie Wu	Temple University	3000	73	296	21286
Melanie Baljko	York University	42	7	4	168
Jeff Edmonds	York University	64	19	27	1892
James Elder	York University	133	23	34	3214
Jarek Gryz	York University	67	17	27	2140
Yves Lesperance	York University	147	26	47	3791
Eric Ruppert	York University	38	18	22	1037
Natalija Vlajic	York University	55	13	14	567
Richard Wildes	York University	81	27	43	5508
Nancy Amato	Texas A&M	360	44	117	6704
Riccardo Bettati	Texas A&M	137	28	51	2576
James Caverlee	Texas A&M	118	24	44	2545
Jinxiang Chai	Texas A&M	52	27	32	3610
Jianer Chen	Texas A&M	270	41	112	5643
Yoonsuck Choe	Texas A&M	179	16	32	1181
Richard Furuta	Texas A&M	234	32	63	3971
Guofei Gu	Texas A&M	210	31	73	5559
Ricardo Gutierrez Osuna	Texas A&M	199	25	55	3910
Thomas R. Ioerger	Texas A&M	170	33	73	7375
Andruid Kerne	Texas A&M	115	19	34	972
John Keyser	Texas A&M	120	23	38	2281
Eun Jung Kim	Texas A&M	3000	49	484	17773
Jyh-Charn (Steve) Liu	Texas A&M	3000	32	430	13815
Dmitri Loguinov	Texas A&M	113	35	57	3136
Lawrence Rauchwerger	Texas A&M	168	30	57	3446
Vivek Sarin	Texas A&M	79	12	17	615
Scott Schaefer	Texas A&M	84	25	40	3037
Dylan Shell	Texas A&M	83	14	15	582
Frank Shipman	Texas A&M	231	40	91	5280
Dezhen Song	Texas A&M	117	17	38	1165
Radu Stoleru	Texas A&M	101	21	31	3451
Sing-Hoi Sze	Texas A&M	52	21	28	2394
Jennifer Welch	Texas A&M	183	29	64	4868
